eta,grid,time,nonlinear_iterations
0.5,32,1.5937424601e-05,2
0.5,32,1.853116706110001e-05,2
0.5,32,2.138428376721001e-05,2
0.5,32,2.452271214393101e-05,2
0.5,32,2.797498335832411e-05,2
0.5,32,3.177248169415653e-05,2
0.5,32,3.594972986357219e-05,2
0.5,32,4.05447028499294e-05,2
0.5,32,4.559917313492235e-05,2
0.5,32,5.115909044841459e-05,2
0.5,32,5.727499949325605e-05,2
0.5,32,6.400249944258165e-05,2
0.5,32,7.140274938683982e-05,3
0.5,32,7.954302432552381e-05,3
0.5,32,8.849732675807619e-05,3
0.5,32,9.834705943388383e-05,3
0.5,32,0.0001091817653772722,3
0.5,32,0.0001210999419149994,3
0.5,32,0.0001342099361064994,3
0.5,32,0.0001486309297171494,3
0.5,32,0.0001644940226888643,3
0.5,32,0.0001819434249577508,3
0.5,32,0.0002011377674535259,3
0.5,32,0.0002222515441988785,3
0.5,32,0.0002454766986187664,3
0.5,32,0.000271024368480643,3
0.5,32,0.0002991268053287073,3
0.5,32,0.0003300394858615781,3
0.5,32,0.0003640434344477359,3
0.5,32,0.0004014477778925096,3
0.5,32,0.0004425925556817605,3
0.5,32,0.0004878518112499367,3
0.5,32,0.0005376369923749304,3
0.5,32,0.0005924006916124235,3
0.5,32,0.0006526407607736659,3
0.5,32,0.0007189048368510325,3
0.5,32,0.0007917953205361358,3
0.5,32,0.0008719748525897494,3
0.5,32,0.0009601723378487245,3
0.5,32,0.001057189571633597,3
0.5,32,0.001163908528796957,3
0.5,32,0.001281299381676653,3
0.5,32,0.001410429319844318,3
0.5,32,0.00155247225182875,4
0.5,32,0.001708719477011625,4
0.5,32,0.001880591424712788,4
0.5,32,0.002069650567184067,4
0.5,32,0.002277615623902474,4
0.5,32,0.002506377186292721,4
0.5,32,0.002758014904921994,4
0.5,32,0.003034816395414193,4
0.5,32,0.003339298034955613,4
0.5,32,0.003674227838451174,4
0.5,32,0.004042650622296292,4
0.5,32,0.004447915684525921,4
0.5,32,0.004893707252978514,4
0.5,32,0.005384077978276365,4
0.5,32,0.005923485776104002,4
0.5,32,0.006516834353714403,4
0.5,32,0.007169517789085845,5
0.5,32,0.00788746956799443,5
0.5,32,0.008677216524793875,5
0.5,32,0.009545938177273262,5
0.5,32,0.01050153199500059,5
0.5,32,0.01155268519450065,5
0.5,32,0.01270895371395072,5
0.5,32,0.01398084908534579,5
0.5,32,0.01537993399388037,5
0.5,32,0.01691892739326841,6
0.5,32,0.01861182013259525,6
0.5,32,0.02047400214585477,6
0.5,32,0.02252240236044025,6
0.5,32,0.02477564259648428,6
0.5,32,0.02725420685613271,6
0.5,32,0.02998062754174599,7
0.5,32,0.03297969029592059,7
0.5,32,0.03627865932551265,7
0.5,32,0.03990752525806392,7
0.5,32,0.04389927778387032,8
0.5,32,0.04829020556225735,8
0.5,32,0.0531202261184831,8
0.5,32,0.05843324873033141,9
0.5,32,0.06427757360336456,9
0.5,32,0.07070633096370102,9
0.5,32,0.07777796406007113,10
0.5,32,0.08555676046607825,10
0.5,32,0.09411343651268608,11
0.5,32,0.1035257801639547,12
0.5,32,0.1138793581803502,12
0.5,32,0.1252682939983852,13
0.5,32,0.1377961233982238,14
0.5,32,0.1515767357380461,15
0.5,32,0.1667354093118508,16
0.5,32,0.1831349344599613,17
0.5,32,0.1994649252887064,18
0.5,32,0.2162634686174664,20
0.5,32,0.231465526584002,22
0.5,32,0.2449467062499071,25
0.5,32,0.2574559112693935,28
0.5,32,0.2695442569813972,26
0.5,32,0.281500022059501,18
0.5,32,0.2924352932851202,18
0.5,32,0.3019953973376475,17
0.5,32,0.3108411290893416,17
0.5,32,0.3196291124057123,17
0.5,32,0.3287168374167483,18
0.5,32,0.3376238903644247,18
0.5,32,0.3463362442767485,18
0.5,32,0.3545054994281732,17
0.5,32,0.3624764248339033,16
0.5,32,0.3706941855933931,18
0.5,32,0.3789631698344453,19
0.5,32,0.3870293223265324,18
0.5,32,0.3950747402589286,18
0.5,32,0.4030194032254653,17
0.5,32,0.4109745329961545,17
0.5,32,0.4191852527108376,19
0.5,32,0.4271004797539285,19
0.5,32,0.4349324241678298,18
0.5,32,0.4427395955563992,17
0.5,32,0.450380152492971,17
0.5,32,0.4581467782046442,18
0.5,32,0.4660210913037364,19
0.5,32,0.4737512530468714,19
0.5,32,0.4815846419654092,18
0.5,32,0.4899109682226017,17
0.5,32,0.4978495618292051,17
0.5,32,0.5,10
0.5,64,1e-06,2
0.5,64,2.1e-06,2
0.5,64,3.31e-06,2
0.5,64,4.641000000000001e-06,2
0.5,64,6.105100000000001e-06,2
0.5,64,7.715610000000002e-06,2
0.5,64,9.487171000000002e-06,2
0.5,64,1.14358881e-05,2
0.5,64,1.357947691e-05,3
0.5,64,1.5937424601e-05,3
0.5,64,1.853116706110001e-05,3
