variant,eta_target,grid,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
aligned_guard_1p1,0.5,64,82,82,0.022522402360440254,0.0022532402360440277,0.024775642596484283,0.10936652008527814,8,8,1.3000603637290554e-06,True,False,True
aligned_guard_1p1,0.5,64,83,83,0.024775642596484283,0.0024785642596484307,0.027254206856132713,0.12245581671301542,9,9,2.486999043145327e-07,True,False,True
aligned_guard_1p1,0.5,64,84,84,0.027254206856132713,0.002726420685613274,0.029980627541745988,0.13687242313421658,9,9,6.781631384331758e-07,True,False,True
aligned_guard_1p1,0.5,64,85,85,0.029980627541745988,0.0029990627541746015,0.032979690295920586,0.15265681624913852,9,9,1.8758210047318736e-06,True,False,True
aligned_guard_1p1,0.5,64,86,86,0.032979690295920586,0.003298969029592062,0.03627865932551265,0.16982884069448004,10,10,5.481764853456757e-07,True,False,True
aligned_guard_1p1,0.5,64,87,87,0.03627865932551265,0.0036288659325512686,0.03990752525806392,0.1883868459248258,10,10,1.7219190646848546e-06,True,False,True
aligned_guard_1p1,0.5,64,88,88,0.03990752525806392,0.003991752525806396,0.043899277783870316,0.20830862474881814,11,11,6.933493295552691e-07,True,False,True
aligned_guard_1p1,0.5,64,89,89,0.043899277783870316,0.0043909277783870364,0.048290205562257354,0.22955352691850886,12,12,3.444545240083952e-07,True,False,True
aligned_guard_1p1,0.5,64,90,90,0.048290205562257354,0.004830020556225741,0.0531202261184831,0.25206400977658383,12,12,1.3816563493119338e-06,True,False,True
aligned_guard_1p1,0.5,64,91,91,0.0531202261184831,0.005313022611848316,0.058433248730331414,0.2757632529637872,13,13,9.468610109673515e-07,True,False,True
aligned_guard_1p1,0.5,64,92,92,0.058433248730331414,0.005844324873033148,0.06427757360336456,0.3005428520142944,14,14,7.940791123355041e-07,True,False,True
aligned_guard_1p1,0.5,64,93,93,0.06427757360336456,0.006428757360336463,0.07070633096370102,0.351867568549787,15,15,8.117686295779708e-07,True,False,True
aligned_guard_1p1,0.5,64,94,94,0.07070633096370102,0.00707163309637011,0.07777796406007113,0.39769603890633526,16,16,1.0365453719562033e-06,True,False,True
aligned_guard_1p1,0.5,64,95,95,0.07777796406007113,0.007778796406007121,0.08555676046607825,0.42709712801847177,17,17,1.7355655318275475e-06,True,False,True
aligned_guard_1p1,0.5,64,96,96,0.08555676046607825,0.008556676046607835,0.09411343651268608,0.5063613538622574,19,19,9.649427407118985e-07,True,False,True
aligned_guard_1p1,0.5,64,97,97,0.09411343651268608,0.008449179603994283,0.10256261611668037,0.5687958409196326,19,19,1.5212499851024763e-06,True,True,False
aligned_guard_1p1,0.5,64,98,97,0.09411343651268608,0.004224589801997141,0.09833802631468322,0.3275457754920019,13,13,1.4486389005345897e-06,True,False,True
aligned_guard_1p1,0.5,64,99,98,0.09833802631468322,0.004647048782196856,0.10298507509688007,0.3757065488814043,14,14,1.4018544888521551e-06,True,False,True
aligned_guard_1p1,0.5,64,100,99,0.10298507509688007,0.005111753660416542,0.1080968287572966,0.42185249383699586,16,16,4.970573725807577e-07,True,False,True
aligned_guard_1p1,0.5,64,101,100,0.1080968287572966,0.005622929026458196,0.1137197577837548,0.4625750008022891,18,18,8.424759392663194e-07,True,False,True
aligned_guard_1p1,0.5,64,102,101,0.1137197577837548,0.006077856581857861,0.11979761436561266,0.48799067445479427,22,22,1.8186616458555693e-06,True,False,True
aligned_guard_1p1,0.5,64,103,102,0.11979761436561266,0.006227431076063413,0.1260250454416761,0.4804569445271801,30,30,1.9023764264423911e-06,True,False,True
aligned_guard_1p1,0.5,64,104,103,0.1260250454416761,0.006480737917308966,0.13250578335898505,0.5695865719125229,34,34,1.2502169672687518e-06,True,True,False
aligned_guard_1p1,0.5,64,105,103,0.1260250454416761,0.003240368958654483,0.12926541440033057,0.32714759158066176,20,20,1.1445535161571394e-06,True,False,True
aligned_guard_1p1,0.5,64,106,104,0.12926541440033057,0.0035644058545199315,0.1328298202548505,0.3767221842611707,21,21,1.8515670438062106e-06,True,False,True
aligned_guard_1p1,0.5,64,107,105,0.1328298202548505,0.003920846439971925,0.13675066669482241,0.4331879457701542,24,24,1.0318379495326973e-06,True,False,True
aligned_guard_1p1,0.5,64,108,106,0.13675066669482241,0.004312931083969118,0.14106359777879154,0.48186114883924897,29,29,8.105622614591343e-07,True,False,True
aligned_guard_1p1,0.5,64,109,107,0.14106359777879154,0.004475284108667506,0.14553888188745906,0.4953080291994624,25,25,6.975638275180168e-07,True,False,True
aligned_guard_1p1,0.5,64,110,108,0.14553888188745906,0.004517677732683485,0.15005655962014255,0.48472664983818786,19,19,5.20820118428814e-07,True,False,True
aligned_guard_1p1,0.5,64,111,109,0.15005655962014255,0.004660026155144949,0.1547165857752875,0.48764854153023535,18,18,5.417045488813643e-07,True,False,True
aligned_guard_1p1,0.5,64,112,110,0.1547165857752875,0.0047780581282185755,0.15949464390350607,0.5469310240867131,18,18,8.176462757277045e-07,True,False,True
aligned_guard_1p1,0.5,64,113,111,0.15949464390350607,0.0043680628066374225,0.1638627067101435,0.5286524613168818,18,18,1.3323667522667648e-06,True,False,True
aligned_guard_1p1,0.5,64,114,112,0.1638627067101435,0.004131317951075558,0.16799402466121904,0.49913352473083344,19,19,7.16820348312567e-07,True,False,True
aligned_guard_1p1,0.5,64,115,113,0.16799402466121904,0.004138489749114172,0.17213251441033323,0.5164407571790077,19,19,1.4046282012280359e-06,True,False,True
aligned_guard_1p1,0.5,64,116,114,0.17213251441033323,0.004006742004368661,0.17613925641470188,0.5018360362987702,19,19,6.013937690476123e-07,True,False,True
aligned_guard_1p1,0.5,64,117,115,0.17613925641470188,0.003992082786561018,0.1801313392012629,0.49813339260627404,18,18,7.74984917971021e-07,True,False,True
aligned_guard_1p1,0.5,64,118,116,0.1801313392012629,0.004007041934765826,0.18413838113602873,0.518528265942235,18,18,9.132525676222949e-07,True,False,True
aligned_guard_1p1,0.5,64,119,117,0.18413838113602873,0.003863860659056355,0.1880022417950851,0.4984608502709508,18,18,1.0552436464800157e-06,True,False,True
aligned_guard_1p1,0.5,64,120,118,0.1880022417950851,0.0038757915059488193,0.19187803330103392,0.481286568362642,18,18,1.8500062997758622e-06,True,False,True
aligned_guard_1p1,0.5,64,121,119,0.19187803330103392,0.004026490412078642,0.19590452371311257,0.5307691309553592,19,19,1.3463932018832984e-06,True,False,True
aligned_guard_1p1,0.5,64,122,120,0.19590452371311257,0.003793071391351594,0.19969759510446417,0.5187792403581106,19,19,1.0955058876206592e-06,True,False,True
aligned_guard_1p1,0.5,64,123,121,0.19969759510446417,0.003655766360979727,0.2033533614654439,0.4927150295080656,19,19,9.822100303576966e-07,True,False,True
aligned_guard_1p1,0.5,64,124,122,0.2033533614654439,0.0037098181931142847,0.20706317965855817,0.4952112970247321,19,19,1.420802269536445e-06,True,False,True
aligned_guard_1p1,0.5,64,125,123,0.20706317965855817,0.003745692207955635,0.21080887186651381,0.4783418079875388,19,19,1.8387937278680062e-06,True,False,True
aligned_guard_1p1,0.5,64,126,124,0.21080887186651381,0.003915288341316397,0.21472416020783022,0.4741449292142122,20,20,9.000519177676288e-07,True,False,True
aligned_guard_1p1,0.5,64,127,125,0.21472416020783022,0.004128788583487648,0.21885294879131786,0.5479811495230227,20,20,1.5624532840398663e-06,True,False,True
aligned_guard_1p1,0.5,64,128,126,0.21885294879131786,0.003767272457347717,0.22262022124866557,0.5321508140944347,20,20,8.026890048509046e-07,True,False,True
aligned_guard_1p1,0.5,64,129,127,0.22262022124866557,0.0035396661600137873,0.22615988740867934,0.5004184829938606,19,19,1.7502100474346362e-06,True,False,True
aligned_guard_1p1,0.5,64,130,128,0.22615988740867934,0.0035367060573352305,0.22969659346601456,0.46991130765325323,19,19,1.8084082875191361e-06,True,False,True
aligned_guard_1p1,0.5,64,131,129,0.22969659346601456,0.0037631633882121433,0.2334597568542267,0.482853708413909,20,20,8.475497750722669e-07,True,False,True
aligned_guard_1p1,0.5,64,132,130,0.2334597568542267,0.0038967945390473283,0.23735655139327402,0.48526482436672286,20,20,1.0076047177177287e-06,True,False,True
aligned_guard_1p1,0.5,64,133,131,0.23735655139327402,0.0040151215824603586,0.2413716729757344,0.5387286109988029,20,20,1.263793928609307e-06,True,False,True
aligned_guard_1p1,0.5,64,134,132,0.2413716729757344,0.003726478880540912,0.24509815185627531,0.529952695359752,20,20,8.776732828323086e-07,True,False,True
aligned_guard_1p1,0.5,64,135,133,0.24509815185627531,0.0035158599184133186,0.24861401177468864,0.4992724246225973,20,20,7.015780002514281e-07,True,False,True
aligned_guard_1p1,0.5,64,136,134,0.24861401177468864,0.0035209834801821632,0.2521349952548708,0.4692859158775833,20,20,7.844282319806093e-07,True,False,True
aligned_guard_1p1,0.5,64,137,135,0.2521349952548708,0.003751426753984066,0.25588642200885486,0.4969121433327984,20,20,1.2020801364460978e-06,True,False,True
aligned_guard_1p1,0.5,64,138,136,0.25588642200885486,0.0037747384566044024,0.2596611604654593,0.5069747996321791,20,20,1.1561431158429492e-06,True,False,True
aligned_guard_1p1,0.5,64,139,137,0.2596611604654593,0.003722806793693745,0.26338396725915303,0.5077898510571205,20,20,1.0184033281550344e-06,True,False,True
aligned_guard_1p1,0.5,64,140,138,0.26338396725915303,0.003665696336726285,0.26704966359587934,0.5184654440852016,20,20,1.0087418793042353e-06,True,False,True
aligned_guard_1p1,0.5,64,141,139,0.26704966359587934,0.0035351404597409254,0.27058480405562024,0.49488683898584646,20,20,8.998213615390096e-07,True,False,True
aligned_guard_1p1,0.5,64,142,140,0.27058480405562024,0.003571665460921692,0.27415646951654193,0.4667769064670557,20,20,1.0538314578077394e-06,True,False,True
aligned_guard_1p1,0.5,64,143,141,0.27415646951654193,0.0038258806417341192,0.27798235015827605,0.490809825292291,20,20,1.6771302550045936e-06,True,False,True
aligned_guard_1p1,0.5,64,144,142,0.27798235015827605,0.0038975183916252084,0.28187986854990127,0.5283402417710484,20,20,1.746895784528394e-06,True,False,True
