model,eta_target,grid,variant,trial,accepted_step_candidate,t_start,dt_try,t_trial,eta_measured,linear_iters,nonlinear_iters,final_residual_norm,solver_converged,violates_guard,accepted
M1,0.1,32,aligned_guard_1p1,245,245,0.6866298652978349,0.009827529496478186,0.696457394794313,0.09725052372402719,5,5,1.2976547002415588e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,246,246,0.696457394794313,0.010105374367305488,0.7065627691616185,0.09709384170419423,5,5,1.380982058630345e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,247,247,0.7065627691616185,0.010407842752882814,0.7169706119145014,0.10200134414801319,5,5,1.5315665694230641e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,248,248,0.7169706119145014,0.010203632942111128,0.7271742448566125,0.10165001574736768,5,5,1.3767666287633853e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,249,249,0.7271742448566125,0.01003800429059487,0.7372122491472074,0.10104107724461818,5,5,1.2727171970119017e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,250,250,0.7372122491472074,0.009934577663194433,0.7471468268104018,0.10051249319500662,5,5,1.2102512242397843e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,251,251,0.7471468268104018,0.009883923229244876,0.7570307500396467,0.1000620485536802,5,5,1.1711019482780548e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,252,252,0.7570307500396467,0.009877794200807768,0.7669085442404545,0.09967271035986318,5,5,1.1442688105374178e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,253,253,0.7669085442404545,0.009910229354799826,0.7768187735952543,0.09933121000722067,5,5,1.1233915174830471e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,254,254,0.7768187735952543,0.009976954226249155,0.7867957278215034,0.09902764258081627,5,5,1.1046311645645468e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,255,255,0.7867957278215034,0.010074918443208403,0.7968706462647118,0.09875448166058629,5,5,1.0853486176456681e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,256,256,0.7968706462647118,0.010201986050451202,0.807072632315163,0.09850589702348576,5,5,1.0641106270351765e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,257,257,0.807072632315163,0.010356726204948772,0.8174293585201118,0.09827729549718564,5,5,1.0403704223070884e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,258,258,0.8174293585201118,0.010538269447235,0.8279676279673468,0.0980650048649212,5,5,1.0152485731791952e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,259,259,0.8279676279673468,0.010746208050212052,0.8387138360175589,0.09786605108105564,5,5,9.918966733279009e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,260,260,0.8387138360175589,0.010980526884968226,0.8496943629025271,0.09767799800495572,5,5,9.76452913523528e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,261,261,0.8496943629025271,0.01124155604050272,0.8609359189430298,0.0974988300867333,5,5,9.787411563358038e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,262,262,0.8609359189430298,0.011529939416198558,0.8724658583592283,0.09732686524375238,5,5,1.0115610715525254e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,263,263,0.8724658583592283,0.011846615410166713,0.884312473769395,0.09716068939517113,5,5,1.0878700634210475e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,264,264,0.884312473769395,0.012192807074458127,0.8965052808438532,0.10139447259703732,5,5,1.2162937701676262e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,265,265,0.8965052808438532,0.012025120070316727,0.9085304009141699,0.101626491515612,5,5,1.1317887810769586e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,266,266,0.9085304009141699,0.011832662813582827,0.9203630637277528,0.10103728823494702,5,5,1.0479216957946974e-07,True,False,True
M1,0.1,32,aligned_guard_1p1,267,267,0.9203630637277528,0.011711184078958799,0.9320742478067116,0.10049572465473194,5,5,9.930484189718816e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,268,268,0.9320742478067116,0.011653415226562444,0.943727663033274,0.1000327674175661,5,5,9.552387315604044e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,269,269,0.943727663033274,0.011649597954156035,0.95537726098743,0.0996326741672481,5,5,9.264361034022164e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,270,270,0.95537726098743,0.011692547702373693,0.9670698086898037,0.09928178732016765,5,5,9.018690680820219e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,271,271,0.9670698086898037,0.011777132561752869,0.9788469412515566,0.09896987421388759,5,5,8.78693232834522e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,272,272,0.9788469412515566,0.011899714590220512,0.9907466558417771,0.09868918608041208,5,5,8.552463808680141e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,273,273,0.9907466558417771,0.012057769511367344,1.0028044253531445,0.09843374479720118,5,5,8.311446717164426e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,274,274,1.0028044253531445,0.012249629978224897,1.0150540553313694,0.09819886127718658,5,5,8.073957659698537e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,275,275,1.0150540553313694,0.012474309598812745,1.027528364930182,0.09798080482221029,5,5,7.868544526263128e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,276,276,1.027528364930182,0.012731381030649658,1.0402597459608318,0.09777657079709619,5,5,7.749239010281282e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,277,277,1.0402597459608318,0.013020891330981063,1.0532806372918129,0.0975837139953506,5,5,7.797492778336308e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,278,278,1.0532806372918129,0.01334330371111049,1.0666239410029235,0.09740022698817152,5,5,8.112459923162675e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,279,279,1.0666239410029235,0.01369945853691997,1.0803233995398434,0.09722444994064969,5,5,8.782421360080399e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,280,280,1.0803233995398434,0.014090548771716121,1.0944139483115596,0.10079059679285053,5,5,9.855059832257536e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,281,281,1.0944139483115596,0.013980023156997142,1.1083939714685567,0.10160429235394056,5,5,9.455406792760929e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,282,282,1.1083939714685567,0.013759284015578256,1.122153255484135,0.10103406313936689,5,5,8.745117120158571e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,283,283,1.122153255484135,0.01361846053503622,1.1357717160191712,0.1004789800500479,5,5,8.243765184052206e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,284,284,1.1357717160191712,0.0135535417738645,1.1493252577930357,0.1000032506141675,5,5,7.875585730343499e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,285,285,1.1493252577930357,0.013553101214836277,1.162878359007872,0.09959236627739018,5,5,7.578378601001109e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,286,286,1.162878359007872,0.013608574353065806,1.1764869333609378,0.09923223799685024,5,5,7.314866493755503e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,287,287,1.1764869333609378,0.01371386419149164,1.1902007975524294,0.09891228051205918,5,5,7.065531847943319e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,288,288,1.1902007975524294,0.013864672941010266,1.2040654704934397,0.09862450898863619,5,5,6.823544179060584e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,289,289,1.2040654704934397,0.014058040017829438,1.218123510511269,0.09836279057463393,5,5,6.59509568408922e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,290,290,1.218123510511269,0.014292030488056086,1.2324155409993252,0.09812233775087364,5,5,6.403920413235305e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,291,291,1.2324155409993252,0.014565521792135284,1.2469810627914604,0.09789936146707141,5,5,6.293763710315886e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,292,292,1.2469810627914604,0.014878055968765862,1.2618591187602262,0.09769082807505819,5,5,6.329590183243509e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,293,293,1.2618591187602262,0.015229736774607643,1.2770888555348339,0.0974942853240161,5,5,6.586790552429442e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,294,294,1.2770888555348339,0.015621158434048288,1.292710013968882,0.09730773539167471,5,5,7.129599295217772e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,295,295,1.292710013968882,0.016053357290837515,1.3087633712597195,0.09968395627128523,5,5,7.983573922146757e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,296,296,1.3087633712597195,0.016104253774949555,1.3248676250346691,0.10162928757991509,5,5,8.069847723454037e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,297,297,1.3248676250346691,0.01584607563276103,1.3407137006674301,0.10110021818537772,5,5,7.435793947596371e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,298,298,1.3407137006674301,0.01567363148881203,1.356387332156242,0.10052220786095793,5,5,6.95693799689201e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,299,299,1.356387332156242,0.015592207754222587,1.3719795399104646,0.10002513322391268,5,5,6.593988056720298e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,300,300,1.3719795399104646,0.01558828991441424,1.3875678298248788,0.0995969353788235,5,5,6.294499123522955e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,301,301,1.3875678298248788,0.01565137507004925,1.4032192048949281,0.09922262990697814,5,5,6.028994619937604e-08,True,False,True
M1,0.1,32,aligned_guard_1p1,302,302,1.4032192048949281,0.01577399740837601,1.418993202303304,0.09889089373723689,5,5,5.7839700528610714e-08,True,False,True
